"","date","location","rainfall","temp_mean","temp_min","temp_max"
"184",2018-05-13,"ARH1",0,-1.29020833333333,-9.11,5.89
"185",2018-05-13,"ARH2",0,25.5014583333333,23.06,28.22
"186",2018-05-13,"GAH2",10.16,25.1347916666667,15.89,35.83
"187",2018-05-13,"IAH1",11.18,13.778125,10.61,19.44
"188",2018-05-13,"IAH2",1.78,12.4164583333333,10.17,16.22
"189",2018-05-13,"IAH3",839,12.440625,10.11,15.78
"190",2018-05-13,"ILH1",0,22.4770833333333,15,30.61
"191",2018-05-13,"INH1",0,21.0775,12.72,30.17
"192",2018-05-13,"NCH1",0.25,27.575,19.67,35.5
"193",2018-05-13,"NEH2",0.76,16.0244444444444,11.89,23.61
"194",2018-05-13,"TXH1",0,27.1208333333333,22.78,32.78
"195",2018-05-13,"TXH2",0,27.9420833333333,21.72,35
"196",2018-05-13,"WIH1",0.51,10.3993617021277,7.11,13.61
"197",2018-05-14,"ARH1",0,-0.263541666666667,-6.94,6.72
"198",2018-05-14,"ARH2",1.02,26.7154166666667,24.17,29.67
"199",2018-05-14,"GAH2",1.52,24.536875,16.61,33.39
"200",2018-05-14,"IAH1",8.64,19.881875,13.89,26.22
"201",2018-05-14,"IAH2",0,17.8389583333333,14.28,23.83
"202",2018-05-14,"IAH3",960,18.8216666666667,13.5,26.94
"203",2018-05-14,"ILH1",0.76,25.6670833333333,18.28,33.89
"204",2018-05-14,"INH1",6.35,24.56625,17.67,32.94
"205",2018-05-14,"NCH1",1.78,26.6904166666667,20.72,33.83
"206",2018-05-14,"NEH2",0,18.7161111111111,15,24.28
"207",2018-05-14,"TXH1",0,26.9633333333333,23.28,31.72
"208",2018-05-14,"TXH2",17.53,26.1158333333333,19.39,33.89
"209",2018-05-14,"WIH1",0.25,16.4177083333333,12.72,21.22
"210",2018-05-15,"ARH1",0,-0.244166666666667,-7.44,6.44
"211",2018-05-15,"ARH2",14.73,26.9222916666667,24.83,29.17
"212",2018-05-15,"GAH2",2.54,22.0716666666667,19.67,25.28
"213",2018-05-15,"IAH1",0,19.8614583333333,17.11,23.78
"214",2018-05-15,"IAH2",0,18.7239583333333,12.89,26.17
"215",2018-05-15,"IAH3",1027,20.253125,14.44,26.39
"216",2018-05-15,"IAH4",0,17.54875,14.39,27.22
"217",2018-05-15,"ILH1",0,20.73375,15.61,25.61
"218",2018-05-15,"INH1",0,20.8247916666667,16.22,25.06
"219",2018-05-15,"NCH1",8.38,24.0095744680851,20.33,29.83
"220",2018-05-15,"NEH2",0,19.8956944444444,13.5,26.22
"221",2018-05-15,"OHH1",0.254,23.404375,18.67,31.39
"222",2018-05-15,"TXH1",0,26.0529166666667,20.61,31.72
"223",2018-05-15,"TXH2",0,23.3679166666667,17.78,32.22
"224",2018-05-15,"WIH1",0.25,18.9064583333333,12.28,24.56
"225",2018-05-16,"ARH1",0,-1.53770833333333,-6.06,5.83
"226",2018-05-16,"ARH2",6.86,26.6135416666667,24.33,30.33
"227",2018-05-16,"GAH2",3.05,22.3014583333333,20.56,27.39
"228",2018-05-16,"IAH1",0,19.9814583333333,12.83,26.72
"229",2018-05-16,"IAH2",0,21.9152083333333,13.61,29.33
"230",2018-05-16,"IAH3",882,20.8147916666667,11.61,27.94
"231",2018-05-16,"IAH4",0,22.122,14.39,27.78
"232",2018-05-16,"ILH1",0,21.7854545454545,14.39,28.28
"233",2018-05-16,"INH1",0,19.9708333333333,15.33,25.61
"234",2018-05-16,"NCH1",6.35,23.73875,20.72,28.72
"235",2018-05-16,"NEH2",0,21.6631944444444,12,29.5
"236",2018-05-16,"OHH1",0.762,19.4508333333333,16,23.67
"237",2018-05-16,"TXH1",0,26.7708333333333,20,33.28
"238",2018-05-16,"TXH2",4.32,23.38625,16.11,31.11
"239",2018-05-16,"WIH1",0.25,19.26625,8.78,27.78
"240",2018-05-17,"ARH1",0,-5.20604166666667,-7.56,-0.78
"241",2018-05-17,"ARH2",0,24.0197916666667,22.56,26.39
"242",2018-05-17,"GAH2",1.52,22.591875,20.17,27
"243",2018-05-17,"IAH1",0,21.3164583333333,14.28,28.39
"244",2018-05-17,"IAH2",0,22.384375,14.22,28.78
"245",2018-05-17,"IAH3",875,21.7885416666667,12.89,28.72
"246",2018-05-17,"IAH4",0,21.2628571428571,13.28,27.78
"247",2018-05-17,"ILH1",0,22.73875,16.72,29.39
"248",2018-05-17,"INH1",4.06,21.02375,13.83,27.56
"249",2018-05-17,"MOH1",0,20.9875,18.67,25.44
"250",2018-05-17,"NCH1",1.78,21.8679166666667,19.83,24.56
"251",2018-05-17,"NEH2",0,22.8384722222222,12.89,30.5
"252",2018-05-17,"OHH1",0.254,20.84,15.67,26.56
"253",2018-05-17,"TXH1",0,27.6508333333333,20,34.39
"254",2018-05-17,"TXH2",0,23.5766666666667,17.22,35
"255",2018-05-17,"WIH1",0,18.6625,13.67,24.56
"256",2018-05-18,"ARH1",0,-8.308,-9.06,-5.89
"257",2018-05-18,"ARH2",19.05,23.9766666666667,22.06,26.94
"258",2018-05-18,"GAH2",0,22.2958333333333,18.17,28.33
"259",2018-05-18,"IAH1",0,19.9039583333333,14.67,24.39
"260",2018-05-18,"IAH2",3.56,22.0835416666667,13.56,29.67
"261",2018-05-18,"IAH3",907,20.4202083333333,12.28,26.56
"262",2018-05-18,"IAH4",4.83,21.0157142857143,15.61,28.28
"263",2018-05-18,"ILH1",0.51,21.3758333333333,18.28,24.39
"264",2018-05-18,"INH1",2.54,18.648125,15.89,22
"265",2018-05-18,"MOH1",2.29,19.5402083333333,16.83,22.67
"266",2018-05-18,"NCH1",1.27,23.3683333333333,21.56,26.22
"267",2018-05-18,"NEH2",0.51,21.0376056338028,12.89,27.5
"268",2018-05-18,"NYH2",0,19.6470833333333,18,20.94
"269",2018-05-18,"NYH3",0,19.61375,18,21.17
"270",2018-05-18,"OHH1",5.334,19.0777083333333,15.67,21.94
"271",2018-05-18,"TXH1",0,27.3633333333333,21.72,33.89
"272",2018-05-18,"TXH2",2.54,24.8195833333333,15.61,35
