date,location,rainfall,temp_mean,temp_min,temp_max
2018-05-19,TXH1,5.59,27.64875,23.28,33.28
2018-05-19,TXH2,2.29,24.29875,18.28,31.72
2018-05-19,WIH1,0.51,17.6147916666667,13.06,24.11
2018-05-19,WIH2,0,17.8185915492958,13,25.5
2018-05-20,ARH2,3.56,23.6212765957447,21.89,26.22
2018-05-20,GAH2,0,23.4883333333333,18.94,30.5
2018-05-20,IAH1,1.27,19.3408333333333,16.39,22.17
2018-05-20,IAH2,0,13.4464583333333,10.78,16.06
2018-05-20,IAH3,210,14.9627083333333,13.22,17.94
2018-05-20,IAH4,7.11,15.1016666666667,13.89,16.11
2018-05-20,ILH1,1.02,20.88875,16.11,26.72
2018-05-20,INH1,0,18.7572916666667,15.5,22.33
2018-05-20,MOH1,0,19.9129166666667,15.44,26.94
2018-05-20,NCH1,0,23.91375,20.89,28.56
2018-05-20,NEH2,0.25,13.33625,12.72,14.11
2018-05-20,NYH2,1.02,19.3914583333333,19.17,19.61
2018-05-20,NYH3,0.76,19.3066666666667,19.06,19.61
2018-05-20,OHH1,11.938,21.625,17.89,27.78
2018-05-20,TXH1,8.13,23.54625,20,28.28
2018-05-20,TXH2,0,17.2439130434783,13.89,21.72
2018-05-20,WIH1,0.25,11.3525,8.22,15
2018-05-20,WIH2,8.13,11.5515492957746,8,15.78
2018-05-21,ARH2,1.27,23.7345833333333,22.33,25.33
2018-05-21,GAH2,3.81,24.0191666666667,18.33,30.39
2018-05-21,IAH1,0,17.4625,13.39,23.5
2018-05-21,IAH2,0.25,16.1927659574468,13.22,21.61
2018-05-21,IAH3,826,14.4629166666667,12.11,17.11
2018-05-21,IAH4,0,18.7228571428571,13.89,23.83
2018-05-21,ILH1,0,20.4466666666667,15.61,25
2018-05-21,INH1,0,20.0395833333333,14.83,25.94
2018-05-21,MOH1,0,20.4939583333333,17.5,25.22
2018-05-21,NCH1,2.54,24.9329166666667,20.83,29.5
2018-05-21,NEH2,0.51,17.8145833333333,12.61,25.5
2018-05-21,NYH2,0.25,19.4075,15.56,23
2018-05-21,NYH3,2.79,19.466875,15.44,23
2018-05-21,OHH1,0,21.1341666666667,15.39,28.22
2018-05-21,TXH1,0,22.9908,19.39,29.39
2018-05-21,TXH2,0.03,19.8633333333333,13.89,26.72
2018-05-21,WIH1,0.25,12.1527083333333,10.17,14.78
2018-05-21,WIH2,0.51,11.5802816901408,9,14
