year,location,lat,lon,saverest,muname,compname,hz_dept,hz_depb,sieveno4_r,sieveno10_r,sieveno40_r,sieveno200_r,sandtotal_r,sandvc_r,sandco_r,sandmed_r,sandfine_r,sandvf_r,silttotal_r,siltco_r,siltfine_r,claytotal_r,om_r,partdensity,ksat_r,awc_r,wtenthbar_r,wthirdbar_r,wfifteenbar_r,wsatiated_r,kwfact,caco3_r,gypsum_r,sar_r,ec_r,cec7_r,ecec_r,ph01mcacl2_r,ptotal_r,sumbases_r,freeiron_r,extracid_r,extral_r,pbray1_r
2018,GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,60,90,96,96,84,49,55.8,2,8.2,21,16.1,8.5,17.7,0,0,26.5,0.25,NA,9,0.15,NA,23.7,15.6,44,0.2,0,0,0,0,9.3,NA,NA,NA,4,NA,8,NA,NA
2018,GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,90,120,86.4,83.4,69,38.2,61.5,3.38,11.2,18.24,18.32,10.36,21,0,0,17.5,0.25,NA,9,0.144,NA,18.24,10.08,38.6,0.2,0,0,0,0,3.72,1.32,NA,NA,2.26,NA,5,NA,NA
2018,GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,120,150,80,75,59,31,65.3,4.3,13.2,16.4,19.8,11.6,23.2,0,0,11.5,0.25,NA,9,0.14,NA,14.6,6.4,35,0.2,0,0,0,0,NA,2.2,NA,NA,1.1,NA,3,NA,NA
2018,GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,150,180,5.33333333333333,5,3.93333333333333,2.06666666666667,4.35333333333333,0.286666666666667,0.88,1.09333333333333,1.32,0.773333333333333,1.54666666666667,0,0,0.766666666666667,0.0166666666666667,NA,0.6,0.00933333333333333,NA,0.973333333333333,0.426666666666667,2.33333333333333,0.0133333333333333,0,0,0,0,NA,0.146666666666667,NA,NA,0.0733333333333333,NA,0.2,NA,NA
2018,IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,0,15,100,100,100,98.5,10.1666666666667,0.7,1.06666666666667,1.63333333333333,3.16666666666667,3.6,63.5,19.6666666666667,26,26.3333333333333,3.83333333333333,NA,5,0.223333333333333,NA,29.7,17,45,0.353333333333333,0,0,0,0.0666666666666667,25.4,NA,NA,NA,14.7333333333333,NA,6.76666666666667,NA,NA
2018,IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,15,30,100,100,100,98.5,10.1666666666667,0.7,1.06666666666667,1.63333333333333,3.16666666666667,3.6,62.8777777777778,19.3555555555556,25.6888888888889,26.9555555555556,3.10555555555556,NA,5,0.219111111111111,NA,30.4222222222222,17.0177777777778,44.5777777777778,0.373333333333333,0,0,0,0.0666666666666667,25.1266666666667,NA,NA,NA,14.6466666666667,NA,6.90888888888889,NA,NA
2018,IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,30,60,100,100,100,98.5,6.46444444444444,0.322222222222222,0.537777777777778,0.915555555555555,1.97666666666667,2.71222222222222,61.38,18.3777777777778,24.3,32.1555555555556,1.71666666666667,NA,2.88566666666667,0.193444444444444,NA,32.2777777777778,19.7666666666667,44.0111111111111,0.419222222222222,0,0,0,0.0666666666666667,27.2622222222222,NA,NA,NA,15.9022222222222,NA,7.31444444444444,NA,NA
2018,IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,60,90,100,100,100,98.5,3.63333333333333,0.0544444444444444,0.175555555555556,0.43,1.10888888888889,1.86444444444444,58.05,17.0111111111111,23.0444444444444,38.3166666666667,0.875555555555556,NA,0.511666666666667,0.172222222222222,NA,33.0511111111111,22.2311111111111,43.9777777777778,0.397333333333333,0,0,0,0.0666666666666667,30.0466666666667,NA,NA,NA,17.8077777777778,NA,7.71555555555556,NA,NA
2018,IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,90,120,100,100,100,98.5,3.75444444444444,0.0666666666666667,0.2,0.471111111111111,1.16555555555556,1.85111111111111,59.4066666666667,18.2777777777778,23.9222222222222,36.8388888888889,0.731111111111111,NA,1.254,0.171888888888889,NA,32.4677777777778,21.1388888888889,43.5444444444444,0.404666666666667,0,0,0,0.0666666666666667,28.4777777777778,NA,NA,NA,16.43,NA,6.77,NA,NA
2018,IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,120,150,100,100,100,98.5,7.26666666666667,0.0666666666666667,0.2,0.6,2.1,4.3,61.4,19.3333333333333,24.6666666666667,31.3333333333333,0.516666666666667,NA,2.23333333333333,0.186666666666667,NA,31.7666666666667,18.1,43.3333333333333,0.45,0,0,0,0.0666666666666667,25.4666666666667,NA,NA,NA,15.3666666666667,NA,5.43333333333333,NA,NA
