location,lat,lon,saverest,muname,compname,hz_dept,hz_depb,sieveno4_r,sieveno10_r,sieveno40_r,sieveno200_r,sandtotal_r,sandvc_r,sandco_r,sandmed_r,sandfine_r,sandvf_r,silttotal_r,siltco_r,siltfine_r,claytotal_r,om_r,partdensity,ksat_r,awc_r,wtenthbar_r,wthirdbar_r,wfifteenbar_r,wsatiated_r,kwfact,caco3_r,gypsum_r,sar_r,ec_r,cec7_r,ecec_r,ph01mcacl2_r,ptotal_r,sumbases_r,freeiron_r,extracid_r,extral_r,pbray1_r
IAH2,42.06593, -94.72742,6/10/2020 2:37:54 AM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Storden - Nicollet - Clarion,80,100,98,93,84.3333333333333,55.2,46.4,2.33333333333333,4.66666666666667,10.9333333333333,17.9333333333333,10.5333333333333,36.2,17.6,18.6,17.4,0.366666666666667,2.63466666666667,9.17,0.18,NA,25.76,10.9133333333333,36.7333333333333,0.366666666666667,15.6666666666667,0,0,0,12.6933333333333,NA,7.3,NA,48.7666666666667,NA,0.8,NA,NA
IAH2,42.06593, -94.72742,6/10/2020 2:37:54 AM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Storden - Nicollet - Clarion,100,200,98,93,84.1333333333333,53.8,48.0666666666667,2.13333333333333,4.86666666666667,11.6,18.6,10.8666666666667,36.1333333333333,18.4666666666667,17.6666666666667,15.8,0.283333333333333,2.63866666666667,9.17,0.18,NA,24.92,9.89333333333333,36.7333333333333,0.37,15.6666666666667,0,0,0,11.3266666666667,NA,7.46,NA,50.0266666666667,NA,0.213333333333333,NA,NA
IAH3,41.98745, -92.26014,6/10/2020 2:31:54 AM,Muscatine silty clay loam. 0 to 2 percent slopes,Muscatine - Garwin,0,10,100,100,99.5,98.5,2.5,0,0.3,0.4,0.5,1.3,66.5,35,31.5,31,5.75,NA,3,0.225,NA,34.65,23.1,46,0.325,0,0,0,0.1,26.4,NA,3,NA,23.6,NA,8.3,NA,NA
IAH3,41.98745, -92.26014,6/10/2020 2:31:54 AM,Muscatine silty clay loam. 0 to 2 percent slopes,Muscatine - Garwin,10,25,100,100,99.5,98.5,2.5,0,0.3,0.4,0.5,1.3,66.3333333333333,34.8333333333333,31.5,31.1666666666667,5.41666666666667,NA,3,0.225,NA,34.5,22.8,45.6666666666667,0.304,0,0,0,0.1,26.45,NA,3,NA,23.4666666666667,NA,8.2,NA,NA
IAH3,41.98745, -92.26014,6/10/2020 2:31:54 AM,Muscatine silty clay loam. 0 to 2 percent slopes,Muscatine - Garwin,25,50,100,100,99.5,98.32,2.68,0,0.3,0.4,0.5,1.48,65.2,34.14,31.06,32.12,3.62,NA,3,0.215,NA,33.696,21.326,44.9,0.3034,0,0,0,0.1,26.684,NA,3.016,NA,24.028,NA,7.562,NA,NA
IAH3,41.98745, -92.26014,6/10/2020 2:31:54 AM,Muscatine silty clay loam. 0 to 2 percent slopes,Muscatine - Garwin,50,80,100,100,99.9833333333333,98,3.48333333333333,0,0.155,0.303333333333333,0.5,2.525,63.6166666666667,33.7,29.9166666666667,32.9,1.325,NA,3,0.1805,NA,32.67,19.5783333333333,44.9166666666667,0.423,0,0,0,0.1,26.255,NA,3.1,NA,24.9066666666667,NA,5.97833333333333,NA,NA
IAH3,41.98745, -92.26014,6/10/2020 2:31:54 AM,Muscatine silty clay loam. 0 to 2 percent slopes,Muscatine - Garwin,80,100,100,100,100,98,3.5,0,0.15,0.3,0.5,2.55,64.225,34,30.225,32.275,1.1375,NA,3,0.18,NA,32.3425,19.0525,45,0.43,0,0,0,0.1,25.6525,NA,3.1,NA,24.335,NA,5.8325,NA,NA
IAH3,41.98745, -92.26014,6/10/2020 2:31:54 AM,Muscatine silty clay loam. 0 to 2 percent slopes,Muscatine - Garwin,100,200,100,100,100,97.535,3.965,0,0.15,0.3,0.593,2.922,70.47,38.575,31.895,25.565,0.4375,NA,8.58,0.1893,NA,29.963,15.33,43.065,0.4858,3.72,0,0,0.1,19.9605,NA,3.3325,NA,37.207,NA,3.2615,NA,NA
IAH4,41.99775, -93.69625,6/10/2020 1:38:22 PM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Clarion - Storden - Nicollet,0,10,98,91.6666666666667,83.6666666666667,58,42.3333333333333,2,4.33333333333333,9.66666666666667,16.3333333333333,10,36,18,18,21.6666666666667,4,2.56333333333333,9.17,0.2,NA,28.3666666666667,14.3,47,0.266666666666667,4,0,0,0,18.1333333333333,NA,6.36666666666667,NA,29.8,NA,4.73333333333333,NA,NA
IAH4,41.99775, -93.69625,6/10/2020 1:38:22 PM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Clarion - Storden - Nicollet,10,25,98,91.8888888888889,84.1111111111111,58.8222222222222,41.3333333333333,2,4.22222222222222,9.33333333333333,16.1111111111111,9.66666666666667,36.6666666666667,17.8888888888889,18.7777777777778,22,3.51111111111111,2.57044444444444,9.17,0.198666666666667,NA,28.4555555555556,14.4244444444444,45.4666666666667,0.278444444444444,4.88888888888889,0,0,0,18.28,NA,6.33333333333333,NA,29.9755555555556,NA,4.76,NA,NA
IAH4,41.99775, -93.69625,6/10/2020 1:38:22 PM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Clarion - Storden - Nicollet,25,50,98,92.5333333333333,85.04,60.1866666666667,40.1333333333333,2.16,4,8.82666666666667,15.8266666666667,9.32,37.2,17.5066666666667,19.6933333333333,22.6666666666667,1.54333333333333,2.59906666666667,9.17,0.1852,NA,28.1533333333333,13.9413333333333,41.48,0.3244,6.66666666666667,0,0,0,18.1933333333333,NA,6.33866666666667,NA,30.2066666666667,NA,4.03733333333333,NA,NA
IAH4,41.99775, -93.69625,6/10/2020 1:38:22 PM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Clarion - Storden - Nicollet,50,80,98,92.7333333333333,84.8666666666667,58.9333333333333,41.8666666666667,2.33333333333333,4.13333333333333,9.33333333333333,16.3333333333333,9.73333333333333,36.2,17.3333333333333,18.8666666666667,21.9333333333333,0.766666666666667,2.61333333333333,9.17,0.18,NA,27.5466666666667,13.0733333333333,40.4666666666667,0.34,7.66666666666667,0,0,0,17.2,NA,6.5,NA,32.1,NA,3.12,NA,NA
IAH4,41.99775, -93.69625,6/10/2020 1:38:22 PM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Clarion - Storden - Nicollet,80,100,98,93,84.3333333333333,55.2,46.4,2.33333333333333,4.66666666666667,10.9333333333333,17.9333333333333,10.5333333333333,36.2,17.6,18.6,17.4,0.366666666666667,2.63466666666667,9.17,0.18,NA,25.76,10.9133333333333,36.7333333333333,0.366666666666667,15.6666666666667,0,0,0,12.6933333333333,NA,7.3,NA,48.7666666666667,NA,0.8,NA,NA
IAH4,41.99775, -93.69625,6/10/2020 1:38:22 PM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Clarion - Storden - Nicollet,100,200,98,93,84.1333333333333,53.8,48.0666666666667,2.13333333333333,4.86666666666667,11.6,18.6,10.8666666666667,36.1333333333333,18.4666666666667,17.6666666666667,15.8,0.283333333333333,2.63866666666667,9.17,0.18,NA,24.92,9.89333333333333,36.7333333333333,0.37,15.6666666666667,0,0,0,11.3266666666667,NA,7.46,NA,50.0266666666667,NA,0.213333333333333,NA,NA
ILH1,40.06341, -88.23005,5/29/2020 11:40:42 AM,Flanagan silt loam. 0 to 2 percent slopes,Flanagan - Urban land - Elpaso,0,10,66.6666666666667,66.6666666666667,66,63.6666666666667,3.66666666666667,0.1,0.366666666666667,0.7,1,1.5,44.6666666666667,0,0,18.3333333333333,3.16666666666667,NA,6.11333333333333,0.136666666666667,NA,21.9666666666667,13.4,29.6666666666667,0.186666666666667,0,0,0,0,15.5333333333333,NA,NA,NA,14.0333333333333,NA,4.96666666666667,NA,NA
