year2014 year2015 year2016 year2017 year2018 year2019
-0.3246134 -0.6419483 -0.5596032 0.3121769 0.3007203 0.1050148
-0.3030783 -0.6841281 -0.5501417 0.3207519 0.2643605 0.1148406
-0.3014872 -0.6637653 -0.5707738 0.319346 0.2421968 0.1185625
-0.2769198 -0.6943089 -0.5329143 0.3644245 0.2750965 0.1375506
-0.246561 -0.6865017 -0.575489 0.3829726 0.2862455 0.1099481
-0.2655437 -0.701783 -0.597653 0.3568077 0.2675883 0.07568164
-0.2486551 -0.7140167 -0.5601463 0.3483126 0.2717361 0.09183382
-0.2042618 -0.6552515 -0.5762358 0.3367212 0.3022028 0.1298249
-0.2128694 -0.584187 -0.5608773 0.330401 0.3129084 0.1534768
-0.2046325 -0.520583 -0.5365937 0.3317288 0.2958961 0.158333
-0.1497894 -0.4959155 -0.5476689 0.3048435 0.3002449 0.1476382
-0.1244318 -0.4792703 -0.5384536 0.279226 0.313341 0.1717777
-0.1286719 -0.4219804 -0.4889709 0.3006413 0.3602761 0.1466744
-0.1224783 -0.4424259 -0.4955054 0.2663297 0.3591774 0.1685253
-0.09593628 -0.4622876 -0.4710624 0.2845152 0.3405224 0.1818286
-0.09511002 -0.4346234 -0.4419117 0.3044477 0.3749216 0.2064959
-0.1183447 -0.4098315 -0.4851191 0.3657519 0.3602386 0.1760151
-0.08991183 -0.5087932 -0.4629369 0.380977 0.3798528 0.1709167
-0.06333282 -0.4801604 -0.4135796 0.3908336 0.4294519 0.1949701
-0.06774642 -0.4652551 -0.3980279 0.3461781 0.4465416 0.2290084
-0.05125047 -0.4448561 -0.4084088 0.3558544 0.4547272 0.2523049
-0.01944657 -0.4644074 -0.4185272 0.376595 0.4337674 0.2545177
-0.03808016 -0.4514815 -0.414858 0.3826552 0.4530397 0.2663443
-0.04538124 -0.4689669 -0.3982463 0.3794472 0.4363435 0.2700043
-0.06393092 -0.4492244 -0.3774104 0.402743 0.4401803 0.2275691
-0.04637361 -0.3966665 -0.3905464 0.4357544 0.4364954 0.2369389
-0.004959937 -0.3916035 -0.4069292 0.4467885 0.4236175 0.2088059
0.008065915 -0.4055734 -0.4294531 0.4299581 0.4475927 0.2060585
0.02375995 -0.4377939 -0.4207786 0.3817978 0.457154 0.1570665
0.02369051 -0.415279 -0.4147746 0.4015216 0.4484483 0.1544775
-0.009136414 -0.3933443 -0.4045133 0.4102898 0.4531153 0.1630415
-0.02406089 -0.364567 -0.3991718 0.3812347 0.4469533 0.167233
-0.03737409 -0.3655837 -0.422337 0.3787866 0.4872567 0.1642316
-0.07935893 -0.3696849 -0.4180018 0.3818974 0.4837068 0.1358981
-0.01828237 -0.3816289 -0.4293652 0.3754665 0.484811 0.1193872
-0.01814421 -0.366126 -0.4165244 0.3672917 0.4856643 0.1162264
0.045454 -0.379587 -0.389256 0.3717837 0.5182465 0.1328454
0.001335103 -0.3764347 -0.3600291 0.3609591 0.4974054 0.127836
0.04218585 -0.3856831 -0.4127651 0.3639726 0.4885386 0.1471337
0.06746899 -0.3853962 -0.4287285 0.3800507 0.4559307 0.1390641
0.03637717 -0.350638 -0.4430138 0.3797381 0.4585315 0.1273066
0.03761659 -0.3375164 -0.4511598 0.3878648 0.4279273 0.1455712
0.0129418 -0.2916987 -0.4774878 0.4306457 0.4205941 0.1614536
0.004951557 -0.2660187 -0.4698828 0.4131435 0.4339995 0.1630654
-0.0297731 -0.2593238 -0.4879429 0.3825765 0.4241084 0.1892795
-0.04104082 -0.2482666 -0.4734758 0.3825213 0.3771064 0.2024408
-0.03879938 -0.2307131 -0.4916641 0.356442 0.3588375 0.194559
-0.04485555 -0.3044029 -0.4781744 0.3528819 0.3637892 0.2303915
-0.09691494 -0.3813297 -0.4704904 0.37594 0.3642466 0.2199339
-0.1694304 -0.3767375 -0.4898729 0.3395396 0.3586625 0.2454836
-0.1853648 -0.3442884 -0.5341861 0.316266 0.3644337 0.2796946
-0.1599993 -0.3547328 -0.4899888 0.285846 0.370334 0.3021711
-0.2025899 -0.3503381 -0.4724236 0.3110956 0.3899359 0.3068132
-0.2032176 -0.3134559 -0.4365133 0.3272288 0.3985269 0.3169244
-0.1982926 -0.3361429 -0.4226439 0.3447168 0.4088006 0.3255888
-0.2003233 -0.3236367 -0.4546749 0.3618935 0.4053796 0.3463286
-0.2399847 -0.427266 -0.4524625 0.3628088 0.3723789 0.3003958
-0.2780846 -0.4413385 -0.4490941 0.3970296 0.3713738 0.3100884
-0.2248088 -0.4307431 -0.4607319 0.3848855 0.3833664 0.3352115
-0.2594661 -0.4178322 -0.4421737 0.3369989 0.3803817 0.3372798
-0.283317 -0.340331 -0.4493786 0.3415642 0.3916211 0.3209027
-0.2567879 -0.3809653 -0.4500523 0.3314939 0.3791613 0.3258671
-0.2168477 -0.3713777 -0.4509622 0.3531764 0.3725089 0.3058376
-0.2413716 -0.3716937 -0.4725365 0.3294892 0.3651097 0.2986623
-0.2722028 -0.3905541 -0.5141516 0.3132881 0.3704937 0.2895359
-0.2500437 -0.395589 -0.4361298 0.3194252 0.336701 0.303397
-0.2778824 -0.3980484 -0.4400159 0.2987481 0.3627259 0.3256256
-0.2834269 -0.3828382 -0.4135686 0.2867149 0.3708941 0.3374005
-0.2943141 -0.3764492 -0.4420543 0.3086822 0.3547611 0.3184297
-0.3560046 -0.4147384 -0.4447914 0.2948245 0.3334585 0.2933623
-0.3511273 -0.4269697 -0.4201003 0.3368422 0.3537208 0.3220072
-0.3425808 -0.3660727 -0.4306985 0.3496875 0.3651456 0.3404319
-0.3199747 -0.4200308 -0.4315516 0.3463203 0.3429226 0.3106298
-0.3055121 -0.3848106 -0.4346083 0.3337157 0.3344909 0.3179089
-0.2975055 -0.4019612 -0.4592254 0.3400683 0.2960237 0.3322225
-0.3233161 -0.5059549 -0.4708513 0.3346184 0.2965451 0.2753105
-0.33114 -0.5100979 -0.4438507 0.3369644 0.3299808 0.3052243
-0.2960784 -0.4726507 -0.4475251 0.3904871 0.3743031 0.3411593
-0.2901828 -0.5367151 -0.4875044 0.3672799 0.3765759 0.2744287
-0.2899726 -0.4649706 -0.4786152 0.3558053 0.3806063 0.2788166
-0.2900752 -0.4291189 -0.4898282 0.3800524 0.3822917 0.2741025
-0.293231 -0.4710606 -0.5236769 0.3541811 0.3489203 0.2842213
-0.3002691 -0.4303021 -0.5818851 0.3282349 0.3209094 0.2559909
-0.324538 -0.3954921 -0.568783 0.3514386 0.3104266 0.2646585
-0.3355486 -0.3995198 -0.5047786 0.3209098 0.293385 0.2741469
-0.3794749 -0.441473 -0.5013354 0.3265544 0.267579 0.282704
-0.3438443 -0.4529928 -0.5519561 0.3638639 0.248305 0.2858331
-0.3634467 -0.5097399 -0.5068483 0.3535438 0.2218801 0.2876139
-0.3164918 -0.4821978 -0.4839018 0.3253978 0.2425584 0.2783806
-0.2342282 -0.4523011 -0.4762765 0.3168531 0.2695272 0.3040099
-0.214676 -0.4498266 -0.436802 0.3566814 0.2651738 0.3008942
-0.2195652 -0.455355 -0.4470843 0.3497671 0.2435178 0.2855091
-0.2694076 -0.4701912 -0.4230732 0.406625 0.2438749 0.2756222
-0.3013692 -0.4168712 -0.4031321 0.440335 0.2553684 0.2834692
-0.2852552 -0.3613358 -0.41522 0.4661478 0.2933458 0.2561418
-0.3020693 -0.3333999 -0.398285 0.4282151 0.2823505 0.2387692
-0.3197853 -0.3785322 -0.4290301 0.4350462 0.2676161 0.2266938
-0.3512894 -0.35835 -0.4413905 0.4185114 0.2654946 0.243079
-0.3032303 -0.3403431 -0.447341 0.4448779 0.2898355 0.2651552
-0.2645646 -0.3688946 -0.4532588 0.4037894 0.2862426 0.2681793
-0.242376 -0.3247668 -0.4846985 0.4339868 0.2783268 0.3046088
-0.2425259 -0.3413461 -0.4730868 0.4503846 0.2465725 0.3147682
-0.2314122 -0.3517806 -0.4689095 0.4103648 0.2514014 0.3274923
-0.2508084 -0.3992489 -0.4495908 0.4026276 0.2687767 0.3352511
-0.2419959 -0.44835 -0.4867686 0.3760285 0.2870876 0.3077296
-0.1849803 -0.4099762 -0.4680233 0.3849771 0.3029789 0.296833
-0.1676346 -0.416761 -0.4416692 0.37494 0.3392525 0.2929467
-0.1297348 -0.3917451 -0.4709113 0.3454094 0.34007 0.2835558
